country,date_parsed,weekday,day,month,name_of_holiday,date_of_holiday,,year_of_event,independence_from,event_commemorated_and_notes,year,date_mdy
"Gambia, The",18/02/1965,Thursday,18,Feb,Unknown,01/02/2018,February-18,1965,United Kingdom,Effective date of the Gambia Independence Act 1964,1965,"February 18, 1965"
Zimbabwe,18/04/1980,Friday,18,Apr,Independence Day,01/04/2018,April-18,1980,United Kingdom,Effective date of the Lancaster House Agreement,1980,"April 18, 1980"
Chile,18/9/1810,Tuesday,18,Sep,Independence Day (part of Fiestas Patrias),01/09/2018,September-18,1810,Spanish Empire,"Establishment of the Government Junta of Chile.[37] The following day, September 19, is celebrated as the Army Day.[38] The two holidays collectively are known as Fiestas Patrias.[39]",1810,"September 18, 1810"
Oman,18/11/1650,Friday,18,Nov,National Day,01/11/2018,November-18,1650,Portugal,Unknown,1650,"November 18, 1650"
Latvia,18/11/1918,Monday,18,Nov,Proclamation Day of the Republic of Latvia,01/11/2018,November-18,1918,Russian Soviet Federative Socialist Republic and German Empire,"Proclamation of independence on November 18, 1918. Latvia was part of Russian Empire prior to World War I, but its territory had been ceded to German Empire in March 1918",1918,"November 18, 1918"
Qatar,18/12/1878,Wednesday,18,Dec,National Day,01/12/2018,December-18,1878,Ottoman Empire,Unknown,1878,"December 18, 1878"
Hungary,19/06/1991,Wednesday,19,Jun,Day of Hungarian Freedom (A magyar szabadság napja),01/06/2019,June-19,1991,Unknown,Restoration of Hungary's sovereignty after the withdrawal of Soviet troops in June 1991.[57][58],1991,"last Saturday of June, 1991"
Afghanistan,19/08/1919,Tuesday,19,Aug,Afghan Independence Day (Afghan Victory Day),01/08/2019,August-19,1919,United Kingdom,"Anglo-Afghan Treaty of 1919 or Treaty of Rawalpindi, an armistice between the United Kingdom and Afghanistan during the Third Anglo-Afghan War[3]",1919,"August 19, 1919"
Saint Kitts and Nevis,19/09/1983,Monday,19,Sep,Independence Day,01/09/2019,September-19,1983,United Kingdom,Unknown,1983,"September 19, 1983"
Tunisia,20/03/1956,Tuesday,20,Mar,Independence Day,01/03/2020,March-20,1956,France,Unknown,1956,"March 20, 1956"
East Timor,20/05/2002,Monday,20,May,Unknown,01/05/2020,May-20,2002,Portugal,"East Timor was invaded by Indonesia from 1975 to 1999, officially it never ceased to be considered as administrated by Portugal.",2002,"May 20, 2002"
Colombia,20/7/1810,Friday,20,Jul,Independence Day,01/07/2020,July-20,1810,Spanish Empire,Colombian Declaration of Independence,1810,"July 20, 1810"
Namibia,21/03/1990,Wednesday,21,Mar,Unknown,01/03/2021,March-21,1990,South Africa,Unknown,1990,"March 21, 1990"
Montenegro,21/05/2006,Sunday,21,May,Unknown,01/05/2021,May-21,2006,Serbia and Montenegro,2006 Montenegrin independence referendum,2006,"May 21, 2006"
Belgium,21/7/1831,Thursday,21,Jul,National Day,01/07/2021,July-21,1831,United Netherlands,Ascension of Leopold of Saxe-Coburg-Saalfeld to the throne[16],1831,"July 21, 1831"
Malta,21/09/1964,Monday,21,Sep,Independence Day,01/09/2021,September-21,1964,United Kingdom,Unknown,1964,"September 21, 1964"
Belize,21/09/1981,Monday,21,Sep,Independence Day,01/09/2021,September-21,1981,United Kingdom,Effective day of the Belize Act 1981[17],1981,"September 21, 1981"
